score	div.	del.	ins.	sequence	begin	end	(left)	repeat	class/family	begin	end	(left)	ID			
	4868	1.6	0.2	1.8	NP_60	129554	130126	-505859	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	4473	5020	0	119	572
	1706	29.3	1.8	0.8	NP_60	208274	208843	-427142	+	Gypsy-31_DYa-I	LTR/Gypsy	3326	3952	-1866	165	569
	4841	1.9	0	0.5	NP_60	475275	475843	-160142	+	ACCORD2_I	LTR/Gypsy	6637	7202	-10	318	568
	1450	31.3	1.5	1.5	NP_60	240926	241484	-394501	+	Gypsy-1_DSim-I	LTR/Gypsy	5029	5587	-460	180	558
	1450	31.3	1.5	1.5	NP_60	285755	286313	-349672	+	Gypsy-1_DSim-I	LTR/Gypsy	5029	5587	-460	204	558
	737	20.2	1.6	19.4	NP_60	578097	578639	-57346	+	MDG1_I	LTR/Gypsy	572	1369	-4745	376	542
	1612	27.9	4.3	0.9	NP_60	331960	332498	-303487	+	Gypsy-31_DYa-I	LTR/Gypsy	3326	3882	-3686	240	538
	3471	7.7	0	4.1	NP_60	380462	380992	-254993	+	Gypsy8_I	LTR/Gypsy	2214	2723	-1624	267	530
	4044	8.1	0	0.4	NP_60	51724	52253	-583732	C	R1_DSi	Non-LTR_retrotransposon/R1	-411	5023	4496	68	529
	4471	2.3	0	1.2	NP_60	345739	346262	-289723	+	NOMAD_LTR	LTR/Gypsy	1	518	0	253	523
	3918	8.5	1.4	0	NP_60	48573	49092	-586893	C	R1_DSi	Non-LTR_retrotransposon/R1	-411	5023	4497	66	519
	2989	14.3	0.8	0.8	NP_60	590776	591291	-44694	+	Gypsy-8_DSim-I	LTR/Gypsy	69	584	-6012	379	515
	3702	4	0.6	7.5	NP_60	518397	518911	-117074	+	DM412B_LTR	LTR/Gypsy	1	482	-89	341	514
	2987	14.1	1	0.8	NP_60	577473	577987	-57998	+	MDG1_I	LTR/Gypsy	69	584	-6012	376	514
	3710	4	0.6	7.5	NP_60	578653	579167	-56818	+	DM412B_LTR	LTR/Gypsy	1	482	-89	377	514
	2856	10.7	4.8	1.2	NP_60	210731	211243	-424742	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-2	769	285	167	512
	2738	11.1	0	9.3	NP_60	529813	530319	-105666	+	Gypsy8_I	LTR/Gypsy	2865	3328	-1019	349	506
	1649	20.2	6.5	6.1	NP_60	43473	43976	-592009	+	Gypsy-1_DSim-I	LTR/Gypsy	6529	7002	-20	59	503
	4142	2.8	0	0.2	NP_60	113499	113999	-521986	+	Gypsy-5_DSe-I	LTR/Gypsy	5249	5748	-416	104	500
	3050	3.2	3.3	12	NP_60	443100	443596	-192389	+	Gypsy-5_DSe-LTR	LTR/Gypsy	1	441	0	308	496
	1754	19.6	2.4	6.2	NP_60	160997	161490	-474495	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-327	444	1	130	493
	4006	5.1	0	0	NP_60	45079	45569	-590416	C	R1_DSi	Non-LTR_retrotransposon/R1	-3162	2272	1782	63	490
	4385	1	3	0	NP_60	552956	553446	-82539	+	TABOR_LTR	LTR/Gypsy	1	506	0	362	490
	2437	11.3	3.7	9.3	NP_60	546265	546753	-89232	+	Gypsy8_I	LTR/Gypsy	2865	3328	-1019	357	488
	2430	11.5	3.7	9.3	NP_60	566011	566499	-69486	+	Gypsy8_I	LTR/Gypsy	2865	3328	-1019	368	488
	4333	0.8	1.2	0	NP_60	67841	68327	-567658	C	Gypsy-8_DSe-I	LTR/Gypsy	-5988	493	1	76	486
	1488	20.3	11.5	2.6	NP_60	214742	215227	-420758	+	Gypsy-3_DSe-I	LTR/Gypsy	670	1197	-6176	168	485
	1509	20.1	11.5	2.6	NP_60	338589	339074	-296911	+	Gypsy-3_DSe-I	LTR/Gypsy	670	1197	-6176	243	485
	1494	20.1	11.8	2.6	NP_60	260487	260971	-375014	+	Gypsy-3_DSe-I	LTR/Gypsy	670	1197	-6176	194	484
	1516	19.9	11.8	2.6	NP_60	305751	306235	-329750	+	Gypsy-3_DSe-I	LTR/Gypsy	670	1197	-6176	218	484
	3402	8.5	1.2	2.3	NP_60	4376	4855	-631130	C	FB4_DM	DNA/TcMar-Tc1	-1961	2128	1654	14	479
	3187	10.5	1.2	0.6	NP_60	593906	594384	-41601	+	DM412B_LTR	LTR/Gypsy	1	482	-89	380	478
	2591	15.6	1.7	0.6	NP_60	306538	307014	-328971	+	DM412B_LTR	LTR/Gypsy	1	482	-89	219	476
	2546	15.7	2.1	1	NP_60	339377	339853	-296132	+	DM412B_LTR	LTR/Gypsy	1	482	-89	244	476
	2437	8	8.5	0.6	NP_60	442026	442502	-193483	+	Gypsy-2_DSim-I	LTR/Gypsy	3212	3580	-110	306	476
	2585	14.7	3	1	NP_60	215528	216000	-419985	+	DM412B_LTR	LTR/Gypsy	1	482	-89	169	472
	2559	15	3	1	NP_60	261272	261744	-374241	+	DM412B_LTR	LTR/Gypsy	1	482	-89	195	472
	1545	24.5	2.4	2.6	NP_60	219844	220313	-415672	+	Gypsy16-I_Dya	LTR/Gypsy	727	1168	-3655	175	469
	1614	23.9	1.8	2	NP_60	344382	344851	-291134	+	Gypsy16-I_Dya	LTR/Gypsy	727	1168	-3655	251	469
	2388	11.4	3.8	8.2	NP_60	541858	542326	-93659	+	Gypsy8_I	LTR/Gypsy	2879	3328	-1019	354	468
	2388	11.4	3.8	8.2	NP_60	560357	560825	-75160	+	Gypsy8_I	LTR/Gypsy	2879	3328	-1019	363	468
	3554	6.2	3	0.6	NP_60	161491	161957	-474028	+	IVK_DM	Non-LTR_retrotransposon/I	4920	5397	-5	131	466
	3554	6.2	3	0.6	NP_60	181585	182051	-453934	+	IVK_DM	Non-LTR_retrotransposon/I	4920	5397	-5	147	466
	1597	21	1.2	0.8	NP_60	38673	39136	-596849	C	Helitron-1_DF	RC/Helitron	-1065	1076	491	48	463
	1963	7.5	9.9	7.1	NP_60	599190	599651	-36334	C	DNAREP1_DM	RC/Helitron	0	692	1	388	461
	3076	8.6	5.8	2.1	NP_60	607270	607731	-28254	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-1842	999	521	390	461
	3116	8.2	5.8	2.1	NP_60	613860	614321	-21664	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-1842	999	521	393	461
	1776	18.9	2.2	6.1	NP_60	181091	181551	-454434	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-327	444	1	145	460
	3936	3	0	0.2	NP_60	541380	541840	-94145	C	R1_DM	Non-LTR_retrotransposon/R1	-7	5349	4890	353	460
	3923	0.9	1.1	0	NP_60	355846	356301	-279684	+	Stalker2_I	LTR/Gypsy	1126	1586	-5810	258	455
	2049	16.3	5.3	1.3	NP_60	597145	597593	-38392	C	DNAREP1_DSim	RC/Helitron	-92	701	254	386	448
	2771	3.8	1.8	0.7	NP_60	387863	388307	-247678	+	Gypsy-11_DSim-I	LTR/Gypsy	203	901	-5463	271	444
	2708	12.5	0	2.3	NP_60	129041	129483	-506502	+	IVK_DM	Non-LTR_retrotransposon/I	34	466	-4936	118	442
	3471	3.7	0.8	1.1	NP_60	204277	204719	-431266	C	DM297_LTR	LTR/Gypsy	0	414	1	162	442
	3471	3.7	0.8	1.1	NP_60	327952	328394	-307591	C	DM297_LTR	LTR/Gypsy	0	414	1	237	442
	3429	3.7	0.8	1.1	NP_60	234495	234933	-401052	+	DM297_LTR	LTR/Gypsy	5	414	0	181	438
	1180	25.2	9.7	2.6	NP_60	265555	265993	-369992	+	Gypsy16-I_Dya	LTR/Gypsy	727	1168	-3655	201	438
	3429	3.7	0.8	1.1	NP_60	278816	279254	-356731	+	DM297_LTR	LTR/Gypsy	5	414	0	205	438
	3440	3.7	1.1	0.7	NP_60	119029	119465	-516520	+	ZAM_I	LTR/Gypsy	6028	6466	-1024	103	436
	2042	14	7.8	0.6	NP_60	184111	184543	-451442	+	DNAREP1_DM	RC/Helitron	32	792	-1	151	432
	1741	16.6	4.2	1.4	NP_60	310745	311177	-324808	C	STALKER4_I	LTR/Gypsy	-5634	896	389	222	432
	3682	2.1	1.2	0.2	NP_60	220364	220791	-415194	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6428	0	176	427
	3682	2.1	1.2	0.2	NP_60	266044	266471	-369514	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6428	0	202	427
	3641	2.6	1.2	0.2	NP_60	344902	345329	-290656	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6428	0	252	427
	2203	9.2	4.2	4.9	NP_60	13009	13434	-622551	C	DNAREP1_DSim	RC/Helitron	-77	716	249	18	425
	2470	12.3	4.2	2.3	NP_60	172109	172533	-463452	+	IVK_DM	Non-LTR_retrotransposon/I	34	466	-4936	142	424
	2809	8.2	0.2	5.2	NP_60	442659	443083	-192902	+	MDG1_I	LTR/Gypsy	374	778	-5818	307	424
	3883	0.2	0	0	NP_60	354057	354480	-281505	+	Stalker2_LTR	LTR/Gypsy	1	424	0	258	423
	2462	16.3	0.2	0.5	NP_60	311740	312158	-323827	C	Gypsy2_I	LTR/Gypsy	-601	5534	5117	225	418
	3435	2.2	0.7	1.2	NP_60	240510	240925	-395060	+	DM297_LTR	LTR/Gypsy	1	414	0	183	415
	3360	3.2	0.7	1.2	NP_60	285339	285754	-350231	+	DM297_LTR	LTR/Gypsy	1	414	0	207	415
	782	25.5	5.3	5.3	NP_60	277321	277734	-358251	+	Gypsy-1_DSim-I	LTR/Gypsy	5166	5463	-2105	204	413
	1265	13.7	8.1	2.2	NP_60	162783	163195	-472790	+	DNAREP1_DSim	RC/Helitron	2	594	0	133	412
	1242	13.9	8.1	2.2	NP_60	182877	183289	-452696	+	DNAREP1_DSim	RC/Helitron	2	594	0	149	412
	1556	20.8	1.2	0.8	NP_60	21930	22339	-613646	C	Helitron-1_DF	RC/Helitron	-1065	1076	497	36	409
	3472	4.3	0	0	NP_60	436224	436632	-199353	+	NOMAD_I	LTR/Gypsy	6170	6572	0	298	408
	3427	3.9	2.2	0	NP_60	120240	120645	-515340	+	Gypsy-2_DSe-I	LTR/Gypsy	5997	6411	0	108	405
	2325	13.9	1.7	2.5	NP_60	521045	521449	-114536	+	GTWIN_LTR	LTR/Gypsy	1	402	-93	343	404
	2630	5.2	0.7	10.3	NP_60	426617	427020	-208965	+	Gypsy-5_DSim-LTR	LTR/Gypsy	1	369	0	292	403
	1486	12.7	4.5	5.6	NP_60	72087	72486	-563499	C	BATUMI_I	LTR/Pao	-7194	769	374	77	399
	2110	16.8	1	3.1	NP_60	341942	342340	-293645	+	Gypsy1-LTR_DM	LTR/Gypsy	2	392	-16	249	398
	3225	4.3	0	0	NP_60	397416	397812	-238173	+	DM412	LTR/Gypsy	2672	3068	-3409	278	396
	3406	2.3	0.2	0.8	NP_60	353661	354056	-281929	C	BATUMI_I	LTR/Pao	-2723	5240	4847	257	395
	1804	18.9	4.8	2	NP_60	404984	405377	-230608	+	Gypsy_LTR	LTR/Gypsy	1	405	-77	284	393
	3005	4.8	0.5	4	NP_60	207833	208224	-427761	+	STALKER4_LTR	LTR/Gypsy	1	379	-23	164	391
	1275	18.8	3.3	10.3	NP_60	248194	248585	-387400	+	ROVER-LTR_DM	LTR/Gypsy	1	367	0	188	391
	3147	2.3	6.7	0.2	NP_60	310356	310744	-325241	+	DM297_LTR	LTR/Gypsy	1	414	0	221	388
	2965	4.6	0.5	4	NP_60	331525	331910	-304075	+	STALKER4_LTR	LTR/Gypsy	7	379	-23	239	385
	855	28.6	2.2	1.9	NP_60	299657	300039	-335946	+	ZAM_I	LTR/Gypsy	5327	5657	-1833	215	382
	293	34.3	2.6	1.8	NP_60	234092	234472	-401513	+	Gypsy-1_DSim-I	LTR/Gypsy	6483	6827	-663	180	380
	304	34.3	2.6	1.8	NP_60	278413	278793	-357192	+	Gypsy-1_DSim-I	LTR/Gypsy	6483	6827	-663	204	380
	1332	17.8	4.5	8.4	NP_60	293099	293479	-342506	+	ROVER-LTR_DM	LTR/Gypsy	1	367	0	213	380
	1412	16.9	4.5	8.4	NP_60	322059	322439	-313546	C	ROVER-LTR_DM	LTR/Gypsy	0	367	1	235	380
	2155	11.6	0.8	4.1	NP_60	243078	243456	-392529	+	Gypsy-28_DYa-LTR	LTR/Gypsy	1	367	0	187	378
	2155	11.6	0.8	4.1	NP_60	287907	288285	-347700	+	Gypsy-28_DYa-LTR	LTR/Gypsy	1	367	0	211	378
	3089	4.8	0.5	0.3	NP_60	103981	104358	-531627	+	STALKER4_LTR	LTR/Gypsy	1	379	-23	99	377
	3008	5.8	0.5	0.3	NP_60	109979	110356	-525629	+	STALKER4_LTR	LTR/Gypsy	1	379	-23	101	377
	3176	4.2	0.5	0	NP_60	478503	478879	-157106	C	STALKER4_LTR	LTR/Gypsy	-23	379	1	319	376
	2156	8.1	13.4	0.2	NP_60	41945	42319	-593666	C	R1-2_DM	Non-LTR_retrotransposon/R1	-549	2667	2260	56	374
	3061	1.4	0.3	2.7	NP_60	388308	388682	-247303	C	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	0	5020	4669	272	374
	2796	2.8	4.3	4.1	NP_60	449848	450222	-185763	+	Gypsy-5_DSe-LTR	LTR/Gypsy	65	436	-62	308	374
	2608	9.1	2.9	0	NP_60	353178	353551	-282434	C	DIVER2_LTR	LTR/Pao	0	385	1	256	373
	2494	8.5	5.4	2.1	NP_60	380089	380461	-255524	+	DIVER2_LTR	LTR/Pao	1	385	0	269	372
	2482	8.8	5.4	2.1	NP_60	472444	472816	-163169	+	DIVER2_LTR	LTR/Pao	1	385	0	316	372
	1585	18.1	4.3	1.8	NP_60	2963	3333	-632652	C	DNAREP1_DSim	RC/Helitron	-1	691	312	9	370
	3203	1.4	5.7	0	NP_60	40954	41324	-594661	C	Gypsy-2_DSim-LTR	LTR/Gypsy	-771	392	1	51	370
	1526	18.5	8.2	2.1	NP_60	396959	397323	-238662	+	Gypsy_LTR	LTR/Gypsy	1	387	-95	276	364
	1519	18.5	8.2	2.1	NP_60	615107	615471	-20514	C	Gypsy_LTR	LTR/Gypsy	-95	387	1	395	364
	2529	8.3	4.7	0.8	NP_60	159863	160226	-475759	+	IVK_DM	Non-LTR_retrotransposon/I	4546	4923	-479	128	363
	2529	8.3	4.7	0.8	NP_60	179957	180320	-455665	+	IVK_DM	Non-LTR_retrotransposon/I	4546	4923	-479	142	363
	2286	10	6.6	0.8	NP_60	498783	499146	-136839	+	DIVER2_LTR	LTR/Pao	1	385	0	325	363
	2286	10	6.6	0.8	NP_60	501698	502061	-133924	+	DIVER2_LTR	LTR/Pao	1	385	0	325	363
	2836	6.1	0.8	0.3	NP_60	27415	27776	-608209	+	Gypsy10_LTR	LTR/Gypsy	1	364	0	38	361
	2836	6.1	0.8	0.3	NP_60	34391	34752	-601233	+	Gypsy10_LTR	LTR/Gypsy	1	364	0	39	361
	3259	1.9	0	0	NP_60	60479	60840	-575145	+	Gypsy-9_DSim-LTR	LTR/Gypsy	1	362	0	73	361
	3256	2.2	0	0	NP_60	428569	428930	-207055	+	Gypsy-9_DSim-LTR	LTR/Gypsy	1	362	0	294	361
	3212	2.2	0	0	NP_60	228097	228457	-407528	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6357	-71	178	360
	3190	2.8	0	0	NP_60	272537	272897	-363088	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6357	-71	202	360
	3277	1.4	0	0	NP_60	373860	374220	-261765	+	BEL_LTR	LTR/Pao	1	361	0	262	360
	2189	10	10.9	0	NP_60	4846	5204	-630781	C	FB4_DM	DNA/TcMar-Tc1	-2586	1503	1106	14	358
	1243	13.8	4.7	4.5	NP_60	316538	316892	-319093	+	Gypsy-6_DSim-LTR	LTR/Gypsy	1	367	0	230	354
	1505	17.7	7.7	1.9	NP_60	484778	485129	-150856	+	Gypsy-1_DSe-I	LTR/Gypsy	5997	6368	-60	321	351
	2199	10.6	7.6	0.8	NP_60	607957	608300	-27685	C	DNAREP1_DSim	RC/Helitron	-325	367	1	391	343
	2199	10.6	7.6	0.8	NP_60	614547	614890	-21095	C	DNAREP1_DSim	RC/Helitron	-325	367	1	394	343
	1981	12	0.5	0.7	NP_60	301914	302255	-333730	C	Gypsy-13_DSim-LTR	LTR/Gypsy	-112	659	388	217	341
	2768	2.6	0.3	0	NP_60	40204	40544	-595441	+	MAX_I	LTR/Pao	7315	7656	-258	50	340
	2952	2.7	0	0	NP_60	143696	144031	-491954	C	DM1731_LTR	LTR/Copia	0	336	1	125	335
	1754	4.3	17.1	9.1	NP_60	42766	43099	-592886	+	ROOA_I	LTR/Pao	596	958	-5891	58	333
	729	20	33.1	0.2	NP_60	18391	18720	-617265	C	Mariner-7_DYa	DNA/TcMar-Tc1	-354	1319	880	28	329
	3093	0	0	0	NP_60	154670	154999	-480986	+	TRANSPAC_LTR	LTR/Gypsy	1	330	0	126	329
	883	22.2	4.8	3.2	NP_60	204823	205150	-430835	+	Gypsy5_I	LTR/Gypsy	245	450	-6059	163	327
	846	22.5	4.8	3.2	NP_60	328498	328825	-307160	+	Gypsy5_I	LTR/Gypsy	245	450	-6059	238	327
	1226	10	17.8	6.2	NP_60	220795	221115	-414870	+	Gypsy-1_DSe-LTR	LTR/Gypsy	3	358	0	176	320
	1209	10.3	17.8	6.2	NP_60	266475	266795	-369190	+	Gypsy-1_DSe-LTR	LTR/Gypsy	3	358	0	202	320
	1186	10.6	17.8	6.2	NP_60	345333	345653	-290332	+	Gypsy-1_DSe-LTR	LTR/Gypsy	3	358	0	252	320
	2777	2.5	0.3	0	NP_60	39881	40200	-595785	+	MAX_LTR	LTR/Pao	1	321	0	49	319
	2158	6.8	0	6.1	NP_60	42454	42766	-593219	+	ROOA_I	LTR/Pao	113	407	-6442	58	312
	2381	6.9	1	0	NP_60	438455	438767	-197218	+	Gypsy-2_DSim-LTR	LTR/Gypsy	1	391	-772	304	312
	2454	0.3	6.5	0	NP_60	149793	150102	-485883	+	TRANSPAC_LTR	LTR/Gypsy	1	330	0	126	309
	1288	7.8	14.3	4.5	NP_60	147571	147877	-488108	C	DM1731_LTR	LTR/Copia	0	336	1	125	306
	1832	10.1	7.6	2.2	NP_60	41569	41871	-594114	+	DNAREP1_DSim	RC/Helitron	374	692	0	53	302
	505	25.6	6.2	4.3	NP_60	219500	219798	-416187	+	Gypsy-10_DMoj-LTR	LTR/Gypsy	1967	2476	-550	174	298
	485	26.4	6.3	4.5	NP_60	265211	265507	-370478	+	Gypsy2-I_DM	LTR/Gypsy	2649	2871	-3658	200	296
	1380	16.6	5.1	1.3	NP_60	437484	437777	-198208	+	DM412B_LTR	LTR/Gypsy	161	465	-106	302	293
	1025	12.6	5.7	1.7	NP_60	252039	252331	-383654	+	Gypsy-1_DSim-I	LTR/Gypsy	6841	7002	-20	189	292
	1027	13	5.7	1.6	NP_60	296917	297209	-338776	+	Gypsy-1_DSim-I	LTR/Gypsy	6841	7002	-20	212	292
	1027	11.7	8.1	1.6	NP_60	318329	318621	-317364	C	Gypsy-1_DSim-I	LTR/Gypsy	-20	7002	6841	234	292
	2046	6.7	0.3	2.8	NP_60	72731	73020	-562965	C	BATUMI_I	LTR/Pao	-679	7284	7002	78	289
	1362	8.9	0.4	0.3	NP_60	387573	387862	-248123	+	Gypsy-11_DSim-I	LTR/Gypsy	6399	6547	0	271	289
	2550	1.7	0	0.3	NP_60	55564	55852	-580133	C	Gypsy-8_DSe-LTR	LTR/Gypsy	0	288	1	71	288
	2550	1.7	0	0.3	NP_60	68328	68616	-567369	C	Gypsy-8_DSe-LTR	LTR/Gypsy	0	288	1	76	288
	1066	12	3.3	7.5	NP_60	18786	19070	-616915	+	DNAREP1_DSim	RC/Helitron	307	692	0	30	284
	1066	12	3.3	7.5	NP_60	35523	35807	-600178	+	DNAREP1_DSim	RC/Helitron	307	692	0	42	284
	1664	7.7	5.2	4.5	NP_60	52257	52540	-583445	C	BATUMI_I	LTR/Pao	-676	7287	7002	69	283
	1061	19.1	4.1	3.3	NP_60	485314	485596	-150389	+	Gypsy-1_DSe-I	LTR/Gypsy	157	663	-6163	322	282
	2150	1.6	0	8.2	NP_60	351411	351687	-284298	C	STALKER4_LTR	LTR/Gypsy	-146	256	1	254	276
	1669	16.3	0	0.4	NP_60	502895	503171	-132814	+	Gypsy8_I	LTR/Gypsy	4999	5274	-1552	327	276
	2489	0.7	0	0.4	NP_60	61449	61724	-574261	C	BURDOCK_LTR	LTR/Gypsy	0	275	1	74	275
	2503	0.4	0	0.4	NP_60	67565	67840	-568145	C	BURDOCK_LTR	LTR/Gypsy	0	275	1	75	275
	1840	5.2	13.2	1	NP_60	159591	159863	-476122	+	IVK_DM	Non-LTR_retrotransposon/I	3779	4084	-1318	128	272
	1838	5.2	13.2	1	NP_60	179685	179957	-456028	+	IVK_DM	Non-LTR_retrotransposon/I	3779	4084	-1318	142	272
	1278	7.9	0.5	7.7	NP_60	417431	417700	-218285	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	286	269
	1278	7.9	0.5	7.7	NP_60	425138	425407	-210578	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	286	269
	1036	15.7	23.9	0	NP_60	1921	2188	-633797	C	DNAREP1_DM	RC/Helitron	-3	591	260	3	267
	1974	3.7	6.6	0.3	NP_60	139751	140015	-495970	+	BLOOD_LTR	LTR/Gypsy	217	498	0	123	264
	821	28.9	0.4	0.4	NP_60	317560	317823	-318162	C	Gypsy5_I	LTR/Gypsy	-4093	2416	2153	232	263
	1124	7.8	2.5	2.2	NP_60	458610	458871	-177114	+	MDG1_I	LTR/Gypsy	6213	6594	-2	309	261
	1073	18.5	3.6	6.1	NP_60	425559	425811	-210174	+	Gypsy-3_DSe-I	LTR/Gypsy	1	247	-7126	286	252
	2030	5.1	0	0	NP_60	472817	473069	-162916	+	Gypsy-13_DSim-I	LTR/Gypsy	4141	4393	-1051	315	252
	1309	10.5	0.4	12.5	NP_60	428309	428559	-207426	C	DIVER_LTR	LTR/Pao	0	224	1	293	250
	2124	4.4	0	0	NP_60	530375	530625	-105360	+	Gypsy12_LTR	LTR/Gypsy	1	251	-2085	350	250
	534	21.7	15.6	2	NP_60	601668	601917	-34068	+	DNAREP1_DSim	RC/Helitron	125	555	-39	389	249
	454	24.1	8.6	3.8	NP_60	124754	124999	-510986	+	Helitron-N1_DEl	RC/Helitron	227	436	-194	114	245
	454	24.1	8.6	3.8	NP_60	167822	168067	-467918	+	Helitron-N1_DEl	RC/Helitron	227	436	-194	138	245
	1787	6.7	0.8	1.6	NP_60	72487	72730	-563255	C	BATUMI_I	LTR/Pao	-7721	242	1	77	243
	1723	3	0.4	3.9	NP_60	634760	635000	-985	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	4788	5020	0	403	240
	1704	6.4	3	0	NP_60	120646	120880	-515105	+	Gypsy-2_DSe-LTR	LTR/Gypsy	1	242	-11	108	234
	1360	10.2	0.9	3.5	NP_60	4109	4341	-631644	C	FB4_DM	DNA/TcMar-Tc1	-1329	2760	2534	14	232
	1768	4.5	0.2	4	NP_60	501285	501516	-134469	+	BEL-6_DYa-I	LTR/Pao	3711	4042	-1678	325	231
	387	25.4	6.1	7.5	NP_60	312644	312873	-323112	+	Gypsy-5_DSim-I	LTR/Gypsy	2481	2707	-4455	227	229
	435	28.3	14.4	1.2	NP_60	12788	13016	-622969	+	I-4_DEu	Non-LTR_retrotransposon/I	3566	3824	-1575	17	228
	1241	17.5	0.9	0	NP_60	41355	41582	-594403	C	DMRT1B	Non-LTR_retrotransposon/R1	-3428	1755	1526	52	227
	1191	10.7	6.3	0	NP_60	458869	459095	-176890	+	MDG1_LTR	LTR/Gypsy	17	241	-201	312	226
	1796	2.6	11.1	0	NP_60	348990	349215	-286770	+	Gypsy-1_DSe-I	LTR/Gypsy	3816	4066	-2362	252	225
	484	23.1	15.7	0.7	NP_60	194634	194858	-441127	C	Gypsy-3_DSe-LTR	LTR/Gypsy	-2	377	114	159	224
	439	24.5	15.7	0.7	NP_60	436707	436931	-199054	+	Gypsy-3_DSe-LTR	LTR/Gypsy	114	377	-2	299	224
	1980	1.4	0	0	NP_60	114001	114221	-521764	+	DMTOM1_LTR	LTR/Gypsy	190	410	0	105	220
	672	23.2	2.6	4.3	NP_60	429393	429613	-206372	+	Gypsy-3_DSe-LTR	LTR/Gypsy	188	518	0	286	220
	831	9.5	0.8	13.4	NP_60	409755	409974	-226011	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	286	219
	1887	3.2	0	0	NP_60	121261	121477	-514508	C	DIVER2_LTR	LTR/Pao	0	385	169	111	216
	1873	3.7	0	0	NP_60	164642	164858	-471127	C	DIVER2_LTR	LTR/Pao	0	385	169	135	216
	1542	5.2	0.6	0.6	NP_60	570735	570951	-65034	C	R1_DSi	Non-LTR_retrotransposon/R1	-1290	4320	3951	371	216
	1869	0.9	0.9	1.4	NP_60	475844	476059	-159926	+	ACCORD2_LTR	LTR/Gypsy	1	215	0	318	215
	1500	7	10.2	0.4	NP_60	607732	607947	-28038	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-2449	392	156	390	215
	1500	7	10.2	0.4	NP_60	614322	614537	-21448	C	G5A_DM	Non-LTR_retrotransposon/Jockey	-2449	392	156	393	215
	664	26.2	1.9	4.4	NP_60	437091	437298	-198687	+	NOMAD_LTR	LTR/Gypsy	316	518	0	300	207
	1616	6.3	0.5	0.5	NP_60	22340	22546	-613439	C	Chimpo_LTR	LTR/Gypsy	0	207	1	37	206
	1616	6.3	0.5	0.5	NP_60	26600	26806	-609179	C	Chimpo_LTR	LTR/Gypsy	0	207	1	37	206
	1697	5.3	0.5	0	NP_60	80016	80221	-555764	C	Chimpo_LTR	LTR/Gypsy	0	207	1	84	205
	1697	5.3	0.5	0	NP_60	83772	83977	-552008	C	Chimpo_LTR	LTR/Gypsy	0	207	1	84	205
	1674	5.8	0.5	0	NP_60	94327	94532	-541453	C	Chimpo_LTR	LTR/Gypsy	0	207	1	94	205
	1697	5.3	0.5	0	NP_60	98087	98292	-537693	C	Chimpo_LTR	LTR/Gypsy	0	207	1	94	205
	945	19.4	2.4	1.9	NP_60	5196	5400	-630585	C	DNAREP1_DSim	RC/Helitron	-485	207	2	9	204
	791	22.7	4.4	5.4	NP_60	194270	194474	-441511	C	NOMAD_LTR	LTR/Gypsy	0	518	316	158	204
	1255	14.2	3.4	0	NP_60	13429	13632	-622353	+	DNAREP1_DSim	RC/Helitron	482	692	0	19	203
	803	28.1	0.1	0.5	NP_60	312158	312361	-323624	C	Gypsy2_I	LTR/Gypsy	-1124	5011	4835	226	203
	1792	2.5	0	0	NP_60	117138	117340	-518645	C	FROGGER_LTR	LTR/Copia	0	203	1	106	202
